NB,LR,ANN,SVM,Ensemble,Num_features
0.45150108842806613,0.448561116370447,0.4495294168451707,0.45101089234963476,0.45150108842806613,1
0.43771907151217493,0.43575467989261096,0.44412061561486843,0.44608379091137706,0.4342829110645202,2
0.4534776430584409,0.45250211614985114,0.43622156652582617,0.4618399358324984,0.454468928461491,3
0.45446060181692366,0.4638287578517463,0.4623606260387869,0.460854889820407,0.46233998440894997,4
0.4445996456921687,0.43327554030865745,0.4160693149597212,0.4519924752427313,0.4460920383078116,5
0.7025867596388218,0.6946795983746626,0.6508609936297562,0.7040416251099145,0.7030551990220685,6
0.6977102760233252,0.7045886962891696,0.6568365265153636,0.7055968969153554,0.7060871049038729,7
0.7041423913393869,0.7154725125022156,0.6869166027240455,0.7277805932636934,0.7272928417858429,8
0.737056478736668,0.7882739169453166,0.7730318507262388,0.7872983721935717,0.7882799687634036,9
0.7346110553007105,0.8010772079737597,0.7848392055288607,0.7986081020563779,0.8020587986105226,10
0.7292187727861417,0.7927311102009353,0.7686342234315845,0.7922470257120711,0.7942077503426489,11
0.7759269789370741,0.8059476155176017,0.797570726601012,0.8069401232651087,0.8084094534696359,12
0.776948409821973,0.8054981477969984,0.8064930343091262,0.8114034261160696,0.8114046304850902,13
0.7730136834497889,0.8321177545045023,0.8114315931185437,0.8276660717161055,0.8311167683581477,14
0.7808773193695439,0.833585898095702,0.8045349818000258,0.8340772985431538,0.8321056388703447,15
0.7902287581699347,0.8405228758169935,0.834074074074074,0.8356027596223674,0.8375744371822803,16
0.7655712217573992,0.8192628119904377,0.8104065847319586,0.815795056629846,0.8212187428776441,17
0.7764752710126558,0.8390144080311372,0.8079747064042045,0.8330908486934435,0.8360514090285343,18
0.783836459238758,0.8601428865796683,0.8448840002862992,0.8557142364038917,0.8611256815854518,19
0.7720768345244341,0.8375352694791506,0.8296582779578048,0.8385241281691587,0.8360683123259187,20
0.7715516013057836,0.856682841763074,0.8453819306840815,0.8502983023638538,0.8581728496375133,21
0.7813883417135212,0.8596707531555134,0.8409548794483758,0.8611486215747524,0.8601658027487963,22
0.7897433717934591,0.8670406092013547,0.8512294934669231,0.8680245788224822,0.8694988339144814,23
0.7902733613112247,0.8803576578694902,0.8571672364742007,0.8828146543494751,0.883308499353124,24
0.7971394442658811,0.8675502999640929,0.8641008018019513,0.8636142426947024,0.8650920991150877,25
0.7907531186165399,0.8719931778586275,0.8537592073866584,0.8655867506645059,0.8705140932490494,26
0.7799098973019103,0.8773973291658704,0.8301619067389238,0.8724857034555488,0.874942682179846,27
0.7847904862028333,0.8769050734785543,0.8538018272768806,0.8759259396174558,0.8793742453206634,28
0.7917304197763968,0.8700218026654808,0.8537777245823224,0.8680489386236513,0.869036592944639,29
0.7754785445886605,0.8730032889573389,0.849833156054412,0.8715265772663399,0.8754626822648433,30
0.7818601979656746,0.86997645393521,0.8316167548351456,0.8640735308686628,0.8680108341704014,31
0.7956652547457146,0.8769051123074112,0.8572066468618192,0.8768966159770757,0.87788912363625,32
0.7873311342584132,0.8720257453784255,0.8602078367868741,0.8690591153377086,0.871529485527437,33
0.7789223565455163,0.8837967260295365,0.840973049766421,0.879854581211365,0.8837894638654117,34
0.7858053131852997,0.8764025099183991,0.8507647810081889,0.8729554146051781,0.8773913626753383,35
0.7769667074549288,0.8778824480770538,0.8444149001506462,0.8788591434033565,0.8773788901989652,36
0.7828616861814968,0.8759050874500502,0.8281942432145272,0.874432084455749,0.8744357155378115,37
0.7813838080504747,0.8759219825886492,0.8562125762125762,0.8695313495313496,0.8749391816058484,38
