playerID,CB,SW,LB,RB,LWB,RWB,CM,CDM,CAM,LM,RM,CF,ST,LF,RF,LW,RW,GK
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,3,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
58,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
80,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
158,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
201,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0
244,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
249,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
269,0,0,0,0,0,0,1,0,3,4,2,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
388,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
492,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
552,0,0,0,0,0,0,4,0,3,0,0,2,1,0,0,0,0,0
560,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
595,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0
603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
607,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
642,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
646,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
657,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
694,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
722,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
760,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0
766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
838,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0
853,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
889,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
942,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
953,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
965,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
1041,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0
1046,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
1075,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
1085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
